#separator:tab
#html:true
#deck:Operating Systems
#notetype:Basic

Question	Answer	Tags
What is a Safe State vs Unsafe State?	<b>Safe state:</b> system can allocate resources to each process (up to its max) in some order (safe sequence) and still avoid deadlock.<br><b>Unsafe state:</b> no safe sequence exists; may lead to deadlock (but not guaranteed).	OS::Unit3_DeadLock
Deadlock Detection: single vs multiple resource instances?	<b>Single instance:</b> use a <b>Wait-For Graph</b> — deadlock exists iff there is a cycle.<br><b>Multiple instances:</b> use the <b>Banker's Algorithm</b> adapted for detection.	OS::Unit3_DeadLock
What are the two Deadlock Recovery methods?	1. <b>Process termination:</b> abort all DL processes at once, OR abort one at a time until the cycle breaks.<br>2. <b>Resource preemption:</b> successively preempt resources from processes and give to others until DL cycle is broken.	OS::Unit3_DeadLock
What is a Logical (Virtual) Address?	Generated by the CPU. The address of an instruction/data used by a process. Range: 0 to max. Does not exist physically. User can access it directly but only reaches physical memory indirectly through it.	OS::Unit4_Memory
What is a Physical Address?	The actual location in main memory. Computed by the <b>MMU</b>. Range: (R+0) to (R+max) for base value R. The user can never access it directly.	OS::Unit4_Memory
What is the MMU (Memory Management Unit)?	A hardware device that performs <b>runtime mapping</b> from logical/virtual addresses to physical addresses by adding the relocation register value to the logical address.	OS::Unit4_Memory
What is Internal Fragmentation?	Wasted space <b>inside</b> a partition when the process is smaller than the partition size. Space is allocated but unused. Occurs in <b>Fixed Partitioning</b>.	OS::Unit4_Memory
What is External Fragmentation?	Total free space exists but is <b>scattered in non-contiguous chunks</b>, so a large process can't be loaded even though enough total space exists. Occurs in <b>Dynamic Partitioning</b>.	OS::Unit4_Memory
Fixed Partitioning vs Dynamic Partitioning?	<b>Fixed:</b> equal/unequal partitions pre-set; internal + external fragmentation; limited multiprogramming degree.<br><b>Dynamic:</b> partition size = process size at load time; no internal fragmentation; external fragmentation remains.	OS::Unit4_Memory
What is Compaction / Defragmentation?	Moving all free partitions together and all loaded partitions together to eliminate external fragmentation. Efficiency decreases during compaction.	OS::Unit4_Memory
What are the four free-space allocation algorithms?	<b>First Fit:</b> first big enough hole — fast.<br><b>Next Fit:</b> like first fit but starts from last allocated hole.<br><b>Best Fit:</b> smallest sufficient hole — less internal frag but may create many small holes; slow.<br><b>Worst Fit:</b> largest hole — leaves larger remaining holes; slow.	OS::Unit4_Memory
What is Paging?	A non-contiguous memory allocation scheme. Physical memory divided into fixed-size <b>Frames</b>; logical memory divided into same-size <b>Pages</b>. A Page Table maps pages to frames. Eliminates external fragmentation.	OS::Unit4_Paging
What is a Page Table?	A data structure that stores which logical page maps to which physical frame. Contains the base address of each page in physical memory. Stored in main memory; base address kept in PCB and PTBR.	OS::Unit4_Paging
What is the TLB (Translation Look-aside Buffer)?	A hardware cache (high-speed memory) that speeds up paging by storing recent page-to-frame mappings.<br><b>TLB hit:</b> frame found directly → fast.<br><b>TLB miss:</b> must consult page table in main memory → slow.	OS::Unit4_Paging
What is an ASID in the TLB?	Address Space Identifier — stored in each TLB entry. Uniquely identifies each process and allows the TLB to hold entries for <b>multiple processes simultaneously</b>, providing address space protection.	OS::Unit4_Paging
What is Segmentation?	Non-contiguous memory allocation that supports the <b>user view</b> of memory. Process divided into variable-size segments (e.g., main, library functions). Each segment identified by {segment number, offset} = {s, d}.	OS::Unit4_Paging
Paging vs Segmentation — key differences?	<b>Paging:</b> OS view, fixed size, may split a function across pages, eliminates external fragmentation, has internal fragmentation.<br><b>Segmentation:</b> user view, variable size, keeps functions intact, has external fragmentation, no internal fragmentation.	OS::Unit4_Paging
What is Virtual Memory?	A technique allowing execution of processes <b>not completely in physical memory</b>. Provides an illusion of very large main memory by treating part of secondary memory (swap space) as main memory.	OS::Unit4_Virtual
What is Demand Paging?	Popular virtual memory method. Least-used pages stored in secondary memory. A page is brought into memory <b>only on demand</b> (when accessed or when a page fault occurs). Uses a <b>Lazy Swapper / Pager</b>.	OS::Unit4_Virtual
What is a Page Fault?	Occurs when a process accesses a page not in physical memory (valid-invalid bit = 0). Causes a <b>trap to OS</b>. OS finds free frame → reads page from disk → updates page table → restarts the instruction.	OS::Unit4_Virtual
What is the valid-invalid bit in the page table?	<b>1:</b> page is legal and currently in memory.<br><b>0:</b> page is either not in the logical address space (invalid) or valid but currently stored on disk.	OS::Unit4_Virtual
FIFO Page Replacement — what is Belady's Anomaly?	In FIFO, increasing the number of frames can <b>increase</b> page faults — counterintuitive strange behavior. LRU and Optimal page replacement do <b>not</b> suffer from Belady's anomaly.	OS::Unit4_Virtual
What is Optimal Page Replacement?	Replace the page that will not be used for the <b>longest time in the future</b>. Has the <b>lowest page fault rate</b> of any algorithm. Impossible to implement in practice (requires future knowledge of reference string).	OS::Unit4_Virtual
What is LRU Page Replacement?	Replace the page <b>Least Recently Used</b> in the past (approximation of future usage). No Belady's anomaly.<br>Implemented via: <b>Counters</b> (time field per entry) or <b>Stack</b> (doubly linked list, MRU on top).	OS::Unit4_Virtual
What is Thrashing?	When a process doesn't have enough frames, it continuously page-faults and replaces pages it immediately needs again. System spends <b>more time servicing page faults than executing processes</b>. CPU utilization drops sharply.	OS::Unit4_Virtual
Two techniques to handle Thrashing?	1. <b>Working Set Model:</b> allocate enough frames to cover a process's current locality; process only faults when moving to a new locality.<br>2. <b>Page Fault Frequency:</b> set upper/lower bounds on page-fault rate and adjust frame allocation dynamically.	OS::Unit4_Virtual
